Date,PM2.5,PM10,Ozone,SO2,NO2,Station,Source_File,Year,Month,Day,DayOfWeek
2024-01-01,62.57,128.77,35.72,0.98,26.37,Bandra Kurla Complex,BKC 24-26,2024,1,1,Monday
2024-01-02,75.46,106.93,24.85,1.15,18.78,Bandra Kurla Complex,BKC 24-26,2024,1,2,Tuesday
2024-01-03,61.45,106.22,29.49,1.84,33.91,Bandra Kurla Complex,BKC 24-26,2024,1,3,Wednesday
2024-01-04,44.12,110.5,53.18,0.94,20.06,Bandra Kurla Complex,BKC 24-26,2024,1,4,Thursday
2024-01-05,85.6,133.02,29.12,1.04,34.3,Bandra Kurla Complex,BKC 24-26,2024,1,5,Friday
2024-01-06,73.04,133.22,21.77,1.79,41.48,Bandra Kurla Complex,BKC 24-26,2024,1,6,Saturday
2024-01-07,51.77,91.26,16.13,1.44,38.55,Bandra Kurla Complex,BKC 24-26,2024,1,7,Sunday
2024-01-08,37.57,82.49,33.72,2.45,27.63,Bandra Kurla Complex,BKC 24-26,2024,1,8,Monday
2024-01-09,37.35,70.44,36.0,1.53,28.1,Bandra Kurla Complex,BKC 24-26,2024,1,9,Tuesday
2024-01-10,26.68,164.08,17.86,3.06,34.8,Bandra Kurla Complex,BKC 24-26,2024,1,10,Wednesday
2024-01-11,71.95,130.63,21.8,2.06,29.82,Bandra Kurla Complex,BKC 24-26,2024,1,11,Thursday
2024-01-12,55.64,101.71,18.77,2.2,38.42,Bandra Kurla Complex,BKC 24-26,2024,1,12,Friday
2024-01-13,54.14,103.67,7.24,2.63,43.05,Bandra Kurla Complex,BKC 24-26,2024,1,13,Saturday
2024-01-14,36.17,93.15,12.87,3.72,26.4,Bandra Kurla Complex,BKC 24-26,2024,1,14,Sunday
2024-01-15,19.5,70.95,34.23,2.04,15.57,Bandra Kurla Complex,BKC 24-26,2024,1,15,Monday
2024-01-16,54.13,97.8,30.27,3.85,29.57,Bandra Kurla Complex,BKC 24-26,2024,1,16,Tuesday
2024-01-17,46.7,89.06,27.35,2.04,19.21,Bandra Kurla Complex,BKC 24-26,2024,1,17,Wednesday
2024-01-18,41.22,80.09,21.32,4.27,19.04,Bandra Kurla Complex,BKC 24-26,2024,1,18,Thursday
2024-01-19,66.54,141.12,19.63,4.44,29.08,Bandra Kurla Complex,BKC 24-26,2024,1,19,Friday
2024-01-20,50.41,89.53,15.65,1.91,35.75,Bandra Kurla Complex,BKC 24-26,2024,1,20,Saturday
2024-01-21,52.75,108.22,2.9,1.43,41.24,Bandra Kurla Complex,BKC 24-26,2024,1,21,Sunday
2024-01-22,47.86,90.1,20.86,2.54,24.32,Bandra Kurla Complex,BKC 24-26,2024,1,22,Monday
2024-01-23,33.54,76.62,25.34,6.36,20.38,Bandra Kurla Complex,BKC 24-26,2024,1,23,Tuesday
2024-01-24,29.2,85.95,24.05,3.21,23.58,Bandra Kurla Complex,BKC 24-26,2024,1,24,Wednesday
2024-01-25,46.26,121.89,2.1,3.63,51.89,Bandra Kurla Complex,BKC 24-26,2024,1,25,Thursday
2024-01-26,35.92,78.14,17.83,2.34,35.08,Bandra Kurla Complex,BKC 24-26,2024,1,26,Friday
2024-01-27,40.62,91.53,13.64,3.85,39.2,Bandra Kurla Complex,BKC 24-26,2024,1,27,Saturday
2024-01-28,29.32,65.12,27.23,5.72,24.06,Bandra Kurla Complex,BKC 24-26,2024,1,28,Sunday
2024-01-29,41.73,71.98,22.05,7.48,25.74,Bandra Kurla Complex,BKC 24-26,2024,1,29,Monday
2024-01-30,56.3,126.07,35.71,3.73,36.19,Bandra Kurla Complex,BKC 24-26,2024,1,30,Tuesday
2024-01-31,41.06,85.83,25.27,3.35,23.48,Bandra Kurla Complex,BKC 24-26,2024,1,31,Wednesday
2024-02-01,18.08,79.06,2.72,1.49,17.05,Bandra Kurla Complex,BKC 24-26,2024,2,1,Thursday
2024-02-02,42.19,108.46,23.78,2.41,20.86,Bandra Kurla Complex,BKC 24-26,2024,2,2,Friday
2024-02-03,70.6,149.75,20.25,3.49,31.15,Bandra Kurla Complex,BKC 24-26,2024,2,3,Saturday
2024-02-04,81.46,185.88,9.23,2.69,48.1,Bandra Kurla Complex,BKC 24-26,2024,2,4,Sunday
2024-02-05,37.58,98.61,4.61,3.04,36.19,Bandra Kurla Complex,BKC 24-26,2024,2,5,Monday
2024-02-06,65.76,147.91,27.22,2.7,19.5,Bandra Kurla Complex,BKC 24-26,2024,2,6,Tuesday
2024-02-07,55.88,165.37,29.49,5.1,23.02,Bandra Kurla Complex,BKC 24-26,2024,2,7,Wednesday
2024-02-08,40.2,119.1,21.19,1.58,28.92,Bandra Kurla Complex,BKC 24-26,2024,2,8,Thursday
2024-02-09,34.56,77.76,33.53,2.49,21.35,Bandra Kurla Complex,BKC 24-26,2024,2,9,Friday
2024-02-10,31.48,80.88,24.01,2.72,21.91,Bandra Kurla Complex,BKC 24-26,2024,2,10,Saturday
2024-02-11,35.8,81.28,27.63,2.54,20.53,Bandra Kurla Complex,BKC 24-26,2024,2,11,Sunday
2024-02-12,55.12,114.51,38.89,2.93,25.0,Bandra Kurla Complex,BKC 24-26,2024,2,12,Monday
2024-02-13,46.62,110.78,32.16,2.97,27.77,Bandra Kurla Complex,BKC 24-26,2024,2,13,Tuesday
2024-02-14,51.46,121.75,33.48,3.06,21.88,Bandra Kurla Complex,BKC 24-26,2024,2,14,Wednesday
2024-02-15,,,,,,Bandra Kurla Complex,BKC 24-26,2024,2,15,Thursday
2024-02-16,69.24,139.28,25.74,12.58,47.38,Bandra Kurla Complex,BKC 24-26,2024,2,16,Friday
2024-02-17,57.9,141.48,16.86,2.91,41.81,Bandra Kurla Complex,BKC 24-26,2024,2,17,Saturday
2024-02-18,44.5,116.49,18.59,1.28,24.73,Bandra Kurla Complex,BKC 24-26,2024,2,18,Sunday
2024-02-19,31.86,100.61,0.77,1.38,26.37,Bandra Kurla Complex,BKC 24-26,2024,2,19,Monday
2024-02-20,11.85,52.53,23.15,0.23,17.49,Bandra Kurla Complex,BKC 24-26,2024,2,20,Tuesday
2024-02-21,17.87,71.72,26.15,1.09,7.8,Bandra Kurla Complex,BKC 24-26,2024,2,21,Wednesday
2024-02-22,20.18,110.72,35.91,0.28,11.63,Bandra Kurla Complex,BKC 24-26,2024,2,22,Thursday
2024-02-23,29.31,122.66,54.51,2.41,18.46,Bandra Kurla Complex,BKC 24-26,2024,2,23,Friday
2024-02-24,60.92,192.74,50.06,5.21,21.14,Bandra Kurla Complex,BKC 24-26,2024,2,24,Saturday
2024-02-25,47.99,179.54,62.09,1.49,26.6,Bandra Kurla Complex,BKC 24-26,2024,2,25,Sunday
2024-02-26,48.35,106.46,60.64,1.37,31.02,Bandra Kurla Complex,BKC 24-26,2024,2,26,Monday
2024-02-27,35.37,81.84,44.67,2.64,15.46,Bandra Kurla Complex,BKC 24-26,2024,2,27,Tuesday
2024-02-28,57.77,126.18,73.75,3.01,15.84,Bandra Kurla Complex,BKC 24-26,2024,2,28,Wednesday
2024-02-29,46.03,106.35,37.06,2.56,21.08,Bandra Kurla Complex,BKC 24-26,2024,2,29,Thursday
2024-03-01,33.68,114.14,29.53,1.27,8.26,Bandra Kurla Complex,BKC 24-26,2024,3,1,Friday
2024-03-02,14.99,51.46,14.75,0.73,7.54,Bandra Kurla Complex,BKC 24-26,2024,3,2,Saturday
2024-03-03,10.88,49.58,44.42,0.59,5.23,Bandra Kurla Complex,BKC 24-26,2024,3,3,Sunday
2024-03-04,17.72,56.13,52.68,0.75,10.47,Bandra Kurla Complex,BKC 24-26,2024,3,4,Monday
2024-03-05,22.2,87.1,17.15,3.07,22.67,Bandra Kurla Complex,BKC 24-26,2024,3,5,Tuesday
2024-03-06,30.57,89.25,32.75,3.47,19.19,Bandra Kurla Complex,BKC 24-26,2024,3,6,Wednesday
2024-03-07,37.93,103.85,61.77,4.69,15.77,Bandra Kurla Complex,BKC 24-26,2024,3,7,Thursday
2024-03-08,30.14,89.84,25.4,5.99,17.41,Bandra Kurla Complex,BKC 24-26,2024,3,8,Friday
2024-03-09,24.33,86.42,15.44,2.84,22.18,Bandra Kurla Complex,BKC 24-26,2024,3,9,Saturday
2024-03-10,25.68,75.8,31.57,2.73,9.57,Bandra Kurla Complex,BKC 24-26,2024,3,10,Sunday
2024-03-11,39.08,115.76,37.79,5.84,13.5,Bandra Kurla Complex,BKC 24-26,2024,3,11,Monday
2024-03-12,41.48,107.82,28.35,4.09,17.18,Bandra Kurla Complex,BKC 24-26,2024,3,12,Tuesday
2024-03-13,22.33,70.74,16.93,,12.72,Bandra Kurla Complex,BKC 24-26,2024,3,13,Wednesday
2024-03-14,31.36,131.37,19.12,0.29,13.18,Bandra Kurla Complex,BKC 24-26,2024,3,14,Thursday
2024-03-15,36.86,180.1,50.99,1.46,9.51,Bandra Kurla Complex,BKC 24-26,2024,3,15,Friday
2024-03-16,45.62,159.28,69.62,1.27,8.61,Bandra Kurla Complex,BKC 24-26,2024,3,16,Saturday
2024-03-17,42.67,135.22,74.19,1.09,6.05,Bandra Kurla Complex,BKC 24-26,2024,3,17,Sunday
2024-03-18,44.7,147.21,66.88,0.55,7.78,Bandra Kurla Complex,BKC 24-26,2024,3,18,Monday
2024-03-19,43.72,123.63,58.08,0.91,10.8,Bandra Kurla Complex,BKC 24-26,2024,3,19,Tuesday
2024-03-20,59.96,199.87,23.95,4.2,21.25,Bandra Kurla Complex,BKC 24-26,2024,3,20,Wednesday
2024-03-21,56.78,151.51,11.68,7.04,39.13,Bandra Kurla Complex,BKC 24-26,2024,3,21,Thursday
2024-03-22,46.85,113.62,79.37,0.43,4.74,Bandra Kurla Complex,BKC 24-26,2024,3,22,Friday
2024-03-23,43.59,88.25,51.78,0.4,7.05,Bandra Kurla Complex,BKC 24-26,2024,3,23,Saturday
2024-03-24,34.19,92.03,34.57,0.35,5.13,Bandra Kurla Complex,BKC 24-26,2024,3,24,Sunday
2024-03-25,22.46,81.1,52.04,0.46,3.89,Bandra Kurla Complex,BKC 24-26,2024,3,25,Monday
2024-03-26,32.88,81.68,42.54,0.57,5.5,Bandra Kurla Complex,BKC 24-26,2024,3,26,Tuesday
2024-03-27,23.09,65.02,32.72,0.29,5.22,Bandra Kurla Complex,BKC 24-26,2024,3,27,Wednesday
2024-03-28,31.7,85.14,39.07,0.15,4.28,Bandra Kurla Complex,BKC 24-26,2024,3,28,Thursday
2024-03-29,34.02,87.35,45.12,0.84,5.26,Bandra Kurla Complex,BKC 24-26,2024,3,29,Friday
2024-03-30,41.32,128.12,55.65,1.2,5.93,Bandra Kurla Complex,BKC 24-26,2024,3,30,Saturday
2024-03-31,26.41,113.5,52.88,1.43,9.29,Bandra Kurla Complex,BKC 24-26,2024,3,31,Sunday
2024-04-01,55.45,212.82,87.79,1.36,7.43,Bandra Kurla Complex,BKC 24-26,2024,4,1,Monday
2024-04-02,42.29,173.95,90.72,0.91,5.74,Bandra Kurla Complex,BKC 24-26,2024,4,2,Tuesday
2024-04-03,39.41,91.81,55.65,1.51,6.85,Bandra Kurla Complex,BKC 24-26,2024,4,3,Wednesday
2024-04-04,23.92,88.88,51.87,0.79,8.73,Bandra Kurla Complex,BKC 24-26,2024,4,4,Thursday
2024-04-05,31.14,110.98,40.33,2.64,13.67,Bandra Kurla Complex,BKC 24-26,2024,4,5,Friday
2024-04-06,32.03,130.24,19.18,1.65,11.43,Bandra Kurla Complex,BKC 24-26,2024,4,6,Saturday
2024-04-07,30.17,67.21,60.45,1.15,3.8,Bandra Kurla Complex,BKC 24-26,2024,4,7,Sunday
2024-04-08,29.68,105.79,49.95,0.74,5.11,Bandra Kurla Complex,BKC 24-26,2024,4,8,Monday
2024-04-09,36.77,90.15,34.09,0.68,4.47,Bandra Kurla Complex,BKC 24-26,2024,4,9,Tuesday
2024-04-10,20.95,80.38,48.34,0.48,4.57,Bandra Kurla Complex,BKC 24-26,2024,4,10,Wednesday
2024-04-11,27.54,73.27,57.96,0.17,4.85,Bandra Kurla Complex,BKC 24-26,2024,4,11,Thursday
2024-04-12,26.48,76.43,29.01,0.74,5.7,Bandra Kurla Complex,BKC 24-26,2024,4,12,Friday
2024-04-13,26.79,87.47,37.22,0.35,4.69,Bandra Kurla Complex,BKC 24-26,2024,4,13,Saturday
